Attribute_Label,Attribute_Definition,Attribute_Definition_Source,Attribute_Domain
Shape,Feature geometry.,ESRI,Coordinates defining the features.
ZONE_NO,,,
AREA_NO,,,
ISSUE_NO,,,
AREA_,,,
PERIMETER,,,
ACRES,,,
Inspected,,,
AGENCY,,,
YARD_NAME,,,
Y_ADDRESS,,,
OBJECTID,Internal feature number.,ESRI,Sequential unique whole numbers that are automatically generated.
RTID,,,
Y_PHONE,,,
URL,,,
PASS,,,
CMPNY,,,
CNTCT1,,,
CNTCT2,,,
CNTCT3,,,
CNTCT4,,,
Shape_Length,Length of feature in internal units.,Esri,Positive real numbers that are automatically generated.
Shape_Area,Area of feature in internal units squared.,Esri,Positive real numbers that are automatically generated.
