friendlier_id,field_name,field_type,values,definition,definition_source
ELECTION_PRECINCTS.shp,ML_DMRS_1,float64,,,
ELECTION_PRECINCTS.shp,WARDS,object,,,
ELECTION_PRECINCTS.shp,PRECINCTS,object,,,
ELECTION_PRECINCTS.shp,MCD,int32,,,
ELECTION_PRECINCTS.shp,CONGRESS,int32,,,
ELECTION_PRECINCTS.shp,SENATE,int32,,,
ELECTION_PRECINCTS.shp,HOUSE,object,,,
ELECTION_PRECINCTS.shp,COMMISSION,int32,,,
ELECTION_PRECINCTS.shp,COUNTYPARK,int32,,,
ELECTION_PRECINCTS.shp,MPLSPARK,int32,,,
ELECTION_PRECINCTS.shp,SHAPE_AREA,float64,,,
ELECTION_PRECINCTS.shp,SHAPE_LEN,float64,,,
ELECTION_PRECINCTS.shp,geometry,geometry,,,
