name,type,width,precision,nullable,default,domain,alias,description,definition_source,metadata_domains
edit_date,DateTime,0,0,True,,,,,,
country,String,2,0,True,,,,,,
state,String,2,0,True,,,,,,
county,String,40,0,True,,,,,,
inc_muni,String,100,0,True,,,,,,
addr_numbe,Integer,0,0,True,,,,,,
addr_frac,String,15,0,True,,,,,,
st_dir,String,2,0,True,,,,,,
st_name,String,75,0,True,,,,,,
st_type,String,4,0,True,,,,,,
zip_code,String,7,0,True,,,,,,
extd_zip,String,4,0,True,,,,,,
unit,String,75,0,True,,,,,,
coord_x,Real,0,0,True,,,,,,
coord_y,Real,0,0,True,,,,,,
external_nguid,String,300,0,True,,,,,,
blocklot,String,14,0,True,,,,,,
full_addr,String,48,0,True,,,,,,
address_id,Integer,0,0,True,,,,,,
cline_id,String,15,0,True,,,,,,
loc_name,String,50,0,True,,,,,,
dirsuf,String,2,0,True,,,,,,
com_idnfr,Integer,0,0,True,,,,,,
