friendlier_id,field_name,field_type,values,definition,definition_source,domain_description,parent_field_name,position
b1g_vnaOjz64rcI2,edit_date,DateTime,,,,,,
b1g_vnaOjz64rcI2,country,String,,Country,,,,
b1g_vnaOjz64rcI2,state,String,,State,,,,
b1g_vnaOjz64rcI2,county,String,,County,,,,
b1g_vnaOjz64rcI2,inc_muni,String,,,,,,
b1g_vnaOjz64rcI2,addr_numbe,Integer,,,,,,
b1g_vnaOjz64rcI2,addr_frac,String,,,,,,
b1g_vnaOjz64rcI2,st_dir,String,,,,,,
b1g_vnaOjz64rcI2,st_name,String,,,,,,
b1g_vnaOjz64rcI2,st_type,String,,,,,,
b1g_vnaOjz64rcI2,zip_code,String,,,,,,
b1g_vnaOjz64rcI2,extd_zip,String,,,,,,
b1g_vnaOjz64rcI2,unit,String,,Unit,,,,
b1g_vnaOjz64rcI2,coord_x,Real,,,,,,
b1g_vnaOjz64rcI2,coord_y,Real,,,,,,
b1g_vnaOjz64rcI2,external_nguid,String,,,,,,
b1g_vnaOjz64rcI2,blocklot,String,,BLOCKLOT,,,,
b1g_vnaOjz64rcI2,full_addr,String,,FULL_ADDR,,,,
b1g_vnaOjz64rcI2,address_id,Integer,,ADDRESS_ID,,,,
b1g_vnaOjz64rcI2,cline_id,String,,CLINE_ID,,,,
b1g_vnaOjz64rcI2,loc_name,String,,LOC_NAME,,,,
b1g_vnaOjz64rcI2,dirsuf,String,,,,,,
b1g_vnaOjz64rcI2,com_idnfr,Integer,,COM_IDNFR,,,,
